DATE_KEY,FULL_DATE,YEAR,QUARTER,QUARTER_NAME,MONTH_NUMBER,MONTH_NAME,MONTH_SHORT_NAME,WEEK_OF_YEAR,DAY_OF_MONTH,DAY_OF_WEEK_NUMBER,DAY_NAME,IS_WEEKEND
20000203,2000-02-03,2000,1,Q1,2,February,Feb,5,3,4,3A0,FALSE
20000204,2000-02-04,2000,1,Q1,2,February,Feb,5,4,5,4A0,FALSE
20000205,2000-02-05,2000,1,Q1,2,February,Feb,5,5,6,5A0,TRUE
20000206,2000-02-06,2000,1,Q1,2,February,Feb,5,6,0,6A0,TRUE
20000207,2000-02-07,2000,1,Q1,2,February,Feb,6,7,1,7A0,FALSE
20000208,2000-02-08,2000,1,Q1,2,February,Feb,6,8,2,8A0,FALSE
20000209,2000-02-09,2000,1,Q1,2,February,Feb,6,9,3,9A0,FALSE
20000210,2000-02-10,2000,1,Q1,2,February,Feb,6,10,4,10A0,FALSE
20000211,2000-02-11,2000,1,Q1,2,February,Feb,6,11,5,11A0,FALSE
20000212,2000-02-12,2000,1,Q1,2,February,Feb,6,12,6,12A0,TRUE
20000213,2000-02-13,2000,1,Q1,2,February,Feb,6,13,0,13A0,TRUE
20000214,2000-02-14,2000,1,Q1,2,February,Feb,7,14,1,14A0,FALSE
20000215,2000-02-15,2000,1,Q1,2,February,Feb,7,15,2,15A0,FALSE
20000216,2000-02-16,2000,1,Q1,2,February,Feb,7,16,3,16A0,FALSE
20000217,2000-02-17,2000,1,Q1,2,February,Feb,7,17,4,17A0,FALSE
20000218,2000-02-18,2000,1,Q1,2,February,Feb,7,18,5,18A0,FALSE
20000219,2000-02-19,2000,1,Q1,2,February,Feb,7,19,6,19A0,TRUE
20000220,2000-02-20,2000,1,Q1,2,February,Feb,7,20,0,20A0,TRUE
20000221,2000-02-21,2000,1,Q1,2,February,Feb,8,21,1,21A0,FALSE
20000222,2000-02-22,2000,1,Q1,2,February,Feb,8,22,2,22A0,FALSE
20000223,2000-02-23,2000,1,Q1,2,February,Feb,8,23,3,23A0,FALSE
20000224,2000-02-24,2000,1,Q1,2,February,Feb,8,24,4,24A0,FALSE
20000225,2000-02-25,2000,1,Q1,2,February,Feb,8,25,5,25A0,FALSE
20000226,2000-02-26,2000,1,Q1,2,February,Feb,8,26,6,26A0,TRUE
20000227,2000-02-27,2000,1,Q1,2,February,Feb,8,27,0,27A0,TRUE
20000228,2000-02-28,2000,1,Q1,2,February,Feb,9,28,1,28A0,FALSE
20000229,2000-02-29,2000,1,Q1,2,February,Feb,9,29,2,29A0,FALSE
20000301,2000-03-01,2000,1,Q1,3,March,Mar,9,1,3,1A0,FALSE
20000302,2000-03-02,2000,1,Q1,3,March,Mar,9,2,4,2A0,FALSE
20000303,2000-03-03,2000,1,Q1,3,March,Mar,9,3,5,3A0,FALSE
20000304,2000-03-04,2000,1,Q1,3,March,Mar,9,4,6,4A0,TRUE
20000305,2000-03-05,2000,1,Q1,3,March,Mar,9,5,0,5A0,TRUE
20000306,2000-03-06,2000,1,Q1,3,March,Mar,10,6,1,6A0,FALSE
20000307,2000-03-07,2000,1,Q1,3,March,Mar,10,7,2,7A0,FALSE
20000308,2000-03-08,2000,1,Q1,3,March,Mar,10,8,3,8A0,FALSE
20000309,2000-03-09,2000,1,Q1,3,March,Mar,10,9,4,9A0,FALSE
20000310,2000-03-10,2000,1,Q1,3,March,Mar,10,10,5,10A0,FALSE
20000311,2000-03-11,2000,1,Q1,3,March,Mar,10,11,6,11A0,TRUE
20000312,2000-03-12,2000,1,Q1,3,March,Mar,10,12,0,12A0,TRUE
20000313,2000-03-13,2000,1,Q1,3,March,Mar,11,13,1,13A0,FALSE
20000314,2000-03-14,2000,1,Q1,3,March,Mar,11,14,2,14A0,FALSE
20000315,2000-03-15,2000,1,Q1,3,March,Mar,11,15,3,15A0,FALSE
20000316,2000-03-16,2000,1,Q1,3,March,Mar,11,16,4,16A0,FALSE
20000317,2000-03-17,2000,1,Q1,3,March,Mar,11,17,5,17A0,FALSE
20000318,2000-03-18,2000,1,Q1,3,March,Mar,11,18,6,18A0,TRUE
20000319,2000-03-19,2000,1,Q1,3,March,Mar,11,19,0,19A0,TRUE
20000320,2000-03-20,2000,1,Q1,3,March,Mar,12,20,1,20A0,FALSE
20000321,2000-03-21,2000,1,Q1,3,March,Mar,12,21,2,21A0,FALSE
20000322,2000-03-22,2000,1,Q1,3,March,Mar,12,22,3,22A0,FALSE
20000323,2000-03-23,2000,1,Q1,3,March,Mar,12,23,4,23A0,FALSE
20000324,2000-03-24,2000,1,Q1,3,March,Mar,12,24,5,24A0,FALSE
20000325,2000-03-25,2000,1,Q1,3,March,Mar,12,25,6,25A0,TRUE
20000326,2000-03-26,2000,1,Q1,3,March,Mar,12,26,0,26A0,TRUE
20000327,2000-03-27,2000,1,Q1,3,March,Mar,13,27,1,27A0,FALSE
20000328,2000-03-28,2000,1,Q1,3,March,Mar,13,28,2,28A0,FALSE
20000329,2000-03-29,2000,1,Q1,3,March,Mar,13,29,3,29A0,FALSE
20000330,2000-03-30,2000,1,Q1,3,March,Mar,13,30,4,30A0,FALSE
20000331,2000-03-31,2000,1,Q1,3,March,Mar,13,31,5,31A0,FALSE
20000401,2000-04-01,2000,2,Q2,4,April,Apr,13,1,6,1A0,TRUE
20000402,2000-04-02,2000,2,Q2,4,April,Apr,13,2,0,2A0,TRUE
20000403,2000-04-03,2000,2,Q2,4,April,Apr,14,3,1,3A0,FALSE
20000404,2000-04-04,2000,2,Q2,4,April,Apr,14,4,2,4A0,FALSE
20000405,2000-04-05,2000,2,Q2,4,April,Apr,14,5,3,5A0,FALSE
20000406,2000-04-06,2000,2,Q2,4,April,Apr,14,6,4,6A0,FALSE
20000407,2000-04-07,2000,2,Q2,4,April,Apr,14,7,5,7A0,FALSE
20000408,2000-04-08,2000,2,Q2,4,April,Apr,14,8,6,8A0,TRUE
20000409,2000-04-09,2000,2,Q2,4,April,Apr,14,9,0,9A0,TRUE
20000410,2000-04-10,2000,2,Q2,4,April,Apr,15,10,1,10A0,FALSE
20000411,2000-04-11,2000,2,Q2,4,April,Apr,15,11,2,11A0,FALSE
20000412,2000-04-12,2000,2,Q2,4,April,Apr,15,12,3,12A0,FALSE
20000413,2000-04-13,2000,2,Q2,4,April,Apr,15,13,4,13A0,FALSE
20000414,2000-04-14,2000,2,Q2,4,April,Apr,15,14,5,14A0,FALSE
20000415,2000-04-15,2000,2,Q2,4,April,Apr,15,15,6,15A0,TRUE
20000416,2000-04-16,2000,2,Q2,4,April,Apr,15,16,0,16A0,TRUE
20000417,2000-04-17,2000,2,Q2,4,April,Apr,16,17,1,17A0,FALSE
20000418,2000-04-18,2000,2,Q2,4,April,Apr,16,18,2,18A0,FALSE
20000419,2000-04-19,2000,2,Q2,4,April,Apr,16,19,3,19A0,FALSE
20000420,2000-04-20,2000,2,Q2,4,April,Apr,16,20,4,20A0,FALSE
20000421,2000-04-21,2000,2,Q2,4,April,Apr,16,21,5,21A0,FALSE
20000422,2000-04-22,2000,2,Q2,4,April,Apr,16,22,6,22A0,TRUE
20000423,2000-04-23,2000,2,Q2,4,April,Apr,16,23,0,23A0,TRUE
20000424,2000-04-24,2000,2,Q2,4,April,Apr,17,24,1,24A0,FALSE
20000425,2000-04-25,2000,2,Q2,4,April,Apr,17,25,2,25A0,FALSE
20000426,2000-04-26,2000,2,Q2,4,April,Apr,17,26,3,26A0,FALSE
20000427,2000-04-27,2000,2,Q2,4,April,Apr,17,27,4,27A0,FALSE
20000428,2000-04-28,2000,2,Q2,4,April,Apr,17,28,5,28A0,FALSE
20000429,2000-04-29,2000,2,Q2,4,April,Apr,17,29,6,29A0,TRUE
20000430,2000-04-30,2000,2,Q2,4,April,Apr,17,30,0,30A0,TRUE
20000501,2000-05-01,2000,2,Q2,5,May,May,18,1,1,1A0,FALSE
20000502,2000-05-02,2000,2,Q2,5,May,May,18,2,2,2A0,FALSE
20000503,2000-05-03,2000,2,Q2,5,May,May,18,3,3,3A0,FALSE
20000504,2000-05-04,2000,2,Q2,5,May,May,18,4,4,4A0,FALSE
20000505,2000-05-05,2000,2,Q2,5,May,May,18,5,5,5A0,FALSE
20000506,2000-05-06,2000,2,Q2,5,May,May,18,6,6,6A0,TRUE
20000507,2000-05-07,2000,2,Q2,5,May,May,18,7,0,7A0,TRUE
20000508,2000-05-08,2000,2,Q2,5,May,May,19,8,1,8A0,FALSE
20000509,2000-05-09,2000,2,Q2,5,May,May,19,9,2,9A0,FALSE
20000510,2000-05-10,2000,2,Q2,5,May,May,19,10,3,10A0,FALSE
20000511,2000-05-11,2000,2,Q2,5,May,May,19,11,4,11A0,FALSE
20000512,2000-05-12,2000,2,Q2,5,May,May,19,12,5,12A0,FALSE
20000513,2000-05-13,2000,2,Q2,5,May,May,19,13,6,13A0,TRUE
20000514,2000-05-14,2000,2,Q2,5,May,May,19,14,0,14A0,TRUE
20000515,2000-05-15,2000,2,Q2,5,May,May,20,15,1,15A0,FALSE
20000516,2000-05-16,2000,2,Q2,5,May,May,20,16,2,16A0,FALSE
20000517,2000-05-17,2000,2,Q2,5,May,May,20,17,3,17A0,FALSE
20000518,2000-05-18,2000,2,Q2,5,May,May,20,18,4,18A0,FALSE
20000519,2000-05-19,2000,2,Q2,5,May,May,20,19,5,19A0,FALSE
20000520,2000-05-20,2000,2,Q2,5,May,May,20,20,6,20A0,TRUE
20000521,2000-05-21,2000,2,Q2,5,May,May,20,21,0,21A0,TRUE
20000522,2000-05-22,2000,2,Q2,5,May,May,21,22,1,22A0,FALSE
20000523,2000-05-23,2000,2,Q2,5,May,May,21,23,2,23A0,FALSE
20000524,2000-05-24,2000,2,Q2,5,May,May,21,24,3,24A0,FALSE
20000525,2000-05-25,2000,2,Q2,5,May,May,21,25,4,25A0,FALSE
20000526,2000-05-26,2000,2,Q2,5,May,May,21,26,5,26A0,FALSE
20000527,2000-05-27,2000,2,Q2,5,May,May,21,27,6,27A0,TRUE
20000528,2000-05-28,2000,2,Q2,5,May,May,21,28,0,28A0,TRUE
20000529,2000-05-29,2000,2,Q2,5,May,May,22,29,1,29A0,FALSE
20000530,2000-05-30,2000,2,Q2,5,May,May,22,30,2,30A0,FALSE
20000531,2000-05-31,2000,2,Q2,5,May,May,22,31,3,31A0,FALSE
20000601,2000-06-01,2000,2,Q2,6,June,Jun,22,1,4,1A0,FALSE
20000602,2000-06-02,2000,2,Q2,6,June,Jun,22,2,5,2A0,FALSE
20000603,2000-06-03,2000,2,Q2,6,June,Jun,22,3,6,3A0,TRUE
20000604,2000-06-04,2000,2,Q2,6,June,Jun,22,4,0,4A0,TRUE
20000605,2000-06-05,2000,2,Q2,6,June,Jun,23,5,1,5A0,FALSE
20000606,2000-06-06,2000,2,Q2,6,June,Jun,23,6,2,6A0,FALSE
20000607,2000-06-07,2000,2,Q2,6,June,Jun,23,7,3,7A0,FALSE
20000608,2000-06-08,2000,2,Q2,6,June,Jun,23,8,4,8A0,FALSE
20000609,2000-06-09,2000,2,Q2,6,June,Jun,23,9,5,9A0,FALSE
20000610,2000-06-10,2000,2,Q2,6,June,Jun,23,10,6,10A0,TRUE
20000611,2000-06-11,2000,2,Q2,6,June,Jun,23,11,0,11A0,TRUE
20000612,2000-06-12,2000,2,Q2,6,June,Jun,24,12,1,12A0,FALSE
20000613,2000-06-13,2000,2,Q2,6,June,Jun,24,13,2,13A0,FALSE
20000614,2000-06-14,2000,2,Q2,6,June,Jun,24,14,3,14A0,FALSE
20000615,2000-06-15,2000,2,Q2,6,June,Jun,24,15,4,15A0,FALSE
20000616,2000-06-16,2000,2,Q2,6,June,Jun,24,16,5,16A0,FALSE
20000617,2000-06-17,2000,2,Q2,6,June,Jun,24,17,6,17A0,TRUE
20000618,2000-06-18,2000,2,Q2,6,June,Jun,24,18,0,18A0,TRUE
20000619,2000-06-19,2000,2,Q2,6,June,Jun,25,19,1,19A0,FALSE
20000620,2000-06-20,2000,2,Q2,6,June,Jun,25,20,2,20A0,FALSE
20000621,2000-06-21,2000,2,Q2,6,June,Jun,25,21,3,21A0,FALSE
20000622,2000-06-22,2000,2,Q2,6,June,Jun,25,22,4,22A0,FALSE
20000623,2000-06-23,2000,2,Q2,6,June,Jun,25,23,5,23A0,FALSE
20000624,2000-06-24,2000,2,Q2,6,June,Jun,25,24,6,24A0,TRUE
20000625,2000-06-25,2000,2,Q2,6,June,Jun,25,25,0,25A0,TRUE
20000626,2000-06-26,2000,2,Q2,6,June,Jun,26,26,1,26A0,FALSE
20000627,2000-06-27,2000,2,Q2,6,June,Jun,26,27,2,27A0,FALSE
20000628,2000-06-28,2000,2,Q2,6,June,Jun,26,28,3,28A0,FALSE
20000629,2000-06-29,2000,2,Q2,6,June,Jun,26,29,4,29A0,FALSE
20000630,2000-06-30,2000,2,Q2,6,June,Jun,26,30,5,30A0,FALSE
20000701,2000-07-01,2000,3,Q3,7,July,Jul,26,1,6,1A0,TRUE
20000702,2000-07-02,2000,3,Q3,7,July,Jul,26,2,0,2A0,TRUE
20000703,2000-07-03,2000,3,Q3,7,July,Jul,27,3,1,3A0,FALSE
20000704,2000-07-04,2000,3,Q3,7,July,Jul,27,4,2,4A0,FALSE
20000705,2000-07-05,2000,3,Q3,7,July,Jul,27,5,3,5A0,FALSE
20000706,2000-07-06,2000,3,Q3,7,July,Jul,27,6,4,6A0,FALSE
20000707,2000-07-07,2000,3,Q3,7,July,Jul,27,7,5,7A0,FALSE
20000708,2000-07-08,2000,3,Q3,7,July,Jul,27,8,6,8A0,TRUE
20000709,2000-07-09,2000,3,Q3,7,July,Jul,27,9,0,9A0,TRUE
20000710,2000-07-10,2000,3,Q3,7,July,Jul,28,10,1,10A0,FALSE
20000711,2000-07-11,2000,3,Q3,7,July,Jul,28,11,2,11A0,FALSE
20000712,2000-07-12,2000,3,Q3,7,July,Jul,28,12,3,12A0,FALSE
20000713,2000-07-13,2000,3,Q3,7,July,Jul,28,13,4,13A0,FALSE
20000714,2000-07-14,2000,3,Q3,7,July,Jul,28,14,5,14A0,FALSE
20000715,2000-07-15,2000,3,Q3,7,July,Jul,28,15,6,15A0,TRUE
20000716,2000-07-16,2000,3,Q3,7,July,Jul,28,16,0,16A0,TRUE
20000717,2000-07-17,2000,3,Q3,7,July,Jul,29,17,1,17A0,FALSE
20000718,2000-07-18,2000,3,Q3,7,July,Jul,29,18,2,18A0,FALSE
20000719,2000-07-19,2000,3,Q3,7,July,Jul,29,19,3,19A0,FALSE
20000720,2000-07-20,2000,3,Q3,7,July,Jul,29,20,4,20A0,FALSE
20000721,2000-07-21,2000,3,Q3,7,July,Jul,29,21,5,21A0,FALSE
20000722,2000-07-22,2000,3,Q3,7,July,Jul,29,22,6,22A0,TRUE
20000723,2000-07-23,2000,3,Q3,7,July,Jul,29,23,0,23A0,TRUE
20000724,2000-07-24,2000,3,Q3,7,July,Jul,30,24,1,24A0,FALSE
20000725,2000-07-25,2000,3,Q3,7,July,Jul,30,25,2,25A0,FALSE
20000726,2000-07-26,2000,3,Q3,7,July,Jul,30,26,3,26A0,FALSE
20000727,2000-07-27,2000,3,Q3,7,July,Jul,30,27,4,27A0,FALSE
20000728,2000-07-28,2000,3,Q3,7,July,Jul,30,28,5,28A0,FALSE
20000729,2000-07-29,2000,3,Q3,7,July,Jul,30,29,6,29A0,TRUE
20000730,2000-07-30,2000,3,Q3,7,July,Jul,30,30,0,30A0,TRUE
20000731,2000-07-31,2000,3,Q3,7,July,Jul,31,31,1,31A0,FALSE
20000801,2000-08-01,2000,3,Q3,8,August,Aug,31,1,2,1A0,FALSE
20000802,2000-08-02,2000,3,Q3,8,August,Aug,31,2,3,2A0,FALSE
20000803,2000-08-03,2000,3,Q3,8,August,Aug,31,3,4,3A0,FALSE
20000804,2000-08-04,2000,3,Q3,8,August,Aug,31,4,5,4A0,FALSE
20000805,2000-08-05,2000,3,Q3,8,August,Aug,31,5,6,5A0,TRUE
20000806,2000-08-06,2000,3,Q3,8,August,Aug,31,6,0,6A0,TRUE
20000807,2000-08-07,2000,3,Q3,8,August,Aug,32,7,1,7A0,FALSE
20000808,2000-08-08,2000,3,Q3,8,August,Aug,32,8,2,8A0,FALSE
20000809,2000-08-09,2000,3,Q3,8,August,Aug,32,9,3,9A0,FALSE
20000810,2000-08-10,2000,3,Q3,8,August,Aug,32,10,4,10A0,FALSE
20000811,2000-08-11,2000,3,Q3,8,August,Aug,32,11,5,11A0,FALSE
20000812,2000-08-12,2000,3,Q3,8,August,Aug,32,12,6,12A0,TRUE
20000813,2000-08-13,2000,3,Q3,8,August,Aug,32,13,0,13A0,TRUE
20000814,2000-08-14,2000,3,Q3,8,August,Aug,33,14,1,14A0,FALSE
20000815,2000-08-15,2000,3,Q3,8,August,Aug,33,15,2,15A0,FALSE
20000816,2000-08-16,2000,3,Q3,8,August,Aug,33,16,3,16A0,FALSE
20000817,2000-08-17,2000,3,Q3,8,August,Aug,33,17,4,17A0,FALSE
20000818,2000-08-18,2000,3,Q3,8,August,Aug,33,18,5,18A0,FALSE
20000819,2000-08-19,2000,3,Q3,8,August,Aug,33,19,6,19A0,TRUE
20000820,2000-08-20,2000,3,Q3,8,August,Aug,33,20,0,20A0,TRUE
20000821,2000-08-21,2000,3,Q3,8,August,Aug,34,21,1,21A0,FALSE
20000822,2000-08-22,2000,3,Q3,8,August,Aug,34,22,2,22A0,FALSE
20000823,2000-08-23,2000,3,Q3,8,August,Aug,34,23,3,23A0,FALSE
20000824,2000-08-24,2000,3,Q3,8,August,Aug,34,24,4,24A0,FALSE
20000825,2000-08-25,2000,3,Q3,8,August,Aug,34,25,5,25A0,FALSE
20000826,2000-08-26,2000,3,Q3,8,August,Aug,34,26,6,26A0,TRUE
20000827,2000-08-27,2000,3,Q3,8,August,Aug,34,27,0,27A0,TRUE
20000828,2000-08-28,2000,3,Q3,8,August,Aug,35,28,1,28A0,FALSE
20000829,2000-08-29,2000,3,Q3,8,August,Aug,35,29,2,29A0,FALSE
20000830,2000-08-30,2000,3,Q3,8,August,Aug,35,30,3,30A0,FALSE
20000831,2000-08-31,2000,3,Q3,8,August,Aug,35,31,4,31A0,FALSE
20000901,2000-09-01,2000,3,Q3,9,September,Sep,35,1,5,1A0,FALSE
20000902,2000-09-02,2000,3,Q3,9,September,Sep,35,2,6,2A0,TRUE
20000903,2000-09-03,2000,3,Q3,9,September,Sep,35,3,0,3A0,TRUE
20000904,2000-09-04,2000,3,Q3,9,September,Sep,36,4,1,4A0,FALSE
20000905,2000-09-05,2000,3,Q3,9,September,Sep,36,5,2,5A0,FALSE
20000906,2000-09-06,2000,3,Q3,9,September,Sep,36,6,3,6A0,FALSE
20000907,2000-09-07,2000,3,Q3,9,September,Sep,36,7,4,7A0,FALSE
20000908,2000-09-08,2000,3,Q3,9,September,Sep,36,8,5,8A0,FALSE
20000909,2000-09-09,2000,3,Q3,9,September,Sep,36,9,6,9A0,TRUE
20000910,2000-09-10,2000,3,Q3,9,September,Sep,36,10,0,10A0,TRUE
20000911,2000-09-11,2000,3,Q3,9,September,Sep,37,11,1,11A0,FALSE
20000912,2000-09-12,2000,3,Q3,9,September,Sep,37,12,2,12A0,FALSE
20000913,2000-09-13,2000,3,Q3,9,September,Sep,37,13,3,13A0,FALSE
20000914,2000-09-14,2000,3,Q3,9,September,Sep,37,14,4,14A0,FALSE
20000915,2000-09-15,2000,3,Q3,9,September,Sep,37,15,5,15A0,FALSE
20000916,2000-09-16,2000,3,Q3,9,September,Sep,37,16,6,16A0,TRUE
20000917,2000-09-17,2000,3,Q3,9,September,Sep,37,17,0,17A0,TRUE
20000918,2000-09-18,2000,3,Q3,9,September,Sep,38,18,1,18A0,FALSE
20000919,2000-09-19,2000,3,Q3,9,September,Sep,38,19,2,19A0,FALSE
20000920,2000-09-20,2000,3,Q3,9,September,Sep,38,20,3,20A0,FALSE
20000921,2000-09-21,2000,3,Q3,9,September,Sep,38,21,4,21A0,FALSE
20000922,2000-09-22,2000,3,Q3,9,September,Sep,38,22,5,22A0,FALSE
20000923,2000-09-23,2000,3,Q3,9,September,Sep,38,23,6,23A0,TRUE
20000924,2000-09-24,2000,3,Q3,9,September,Sep,38,24,0,24A0,TRUE
20000925,2000-09-25,2000,3,Q3,9,September,Sep,39,25,1,25A0,FALSE
20000926,2000-09-26,2000,3,Q3,9,September,Sep,39,26,2,26A0,FALSE
20000927,2000-09-27,2000,3,Q3,9,September,Sep,39,27,3,27A0,FALSE
20000928,2000-09-28,2000,3,Q3,9,September,Sep,39,28,4,28A0,FALSE
20000929,2000-09-29,2000,3,Q3,9,September,Sep,39,29,5,29A0,FALSE
20000930,2000-09-30,2000,3,Q3,9,September,Sep,39,30,6,30A0,TRUE
20001001,2000-10-01,2000,4,Q4,10,October,Oct,39,1,0,1A0,TRUE
20001002,2000-10-02,2000,4,Q4,10,October,Oct,40,2,1,2A0,FALSE
20001003,2000-10-03,2000,4,Q4,10,October,Oct,40,3,2,3A0,FALSE
20001004,2000-10-04,2000,4,Q4,10,October,Oct,40,4,3,4A0,FALSE
20001005,2000-10-05,2000,4,Q4,10,October,Oct,40,5,4,5A0,FALSE
20001006,2000-10-06,2000,4,Q4,10,October,Oct,40,6,5,6A0,FALSE
20001007,2000-10-07,2000,4,Q4,10,October,Oct,40,7,6,7A0,TRUE
20001008,2000-10-08,2000,4,Q4,10,October,Oct,40,8,0,8A0,TRUE
20001009,2000-10-09,2000,4,Q4,10,October,Oct,41,9,1,9A0,FALSE
20001010,2000-10-10,2000,4,Q4,10,October,Oct,41,10,2,10A0,FALSE
20001011,2000-10-11,2000,4,Q4,10,October,Oct,41,11,3,11A0,FALSE
20001012,2000-10-12,2000,4,Q4,10,October,Oct,41,12,4,12A0,FALSE
20001013,2000-10-13,2000,4,Q4,10,October,Oct,41,13,5,13A0,FALSE
20001014,2000-10-14,2000,4,Q4,10,October,Oct,41,14,6,14A0,TRUE
20001015,2000-10-15,2000,4,Q4,10,October,Oct,41,15,0,15A0,TRUE
20001016,2000-10-16,2000,4,Q4,10,October,Oct,42,16,1,16A0,FALSE
20001017,2000-10-17,2000,4,Q4,10,October,Oct,42,17,2,17A0,FALSE
20001018,2000-10-18,2000,4,Q4,10,October,Oct,42,18,3,18A0,FALSE
20001019,2000-10-19,2000,4,Q4,10,October,Oct,42,19,4,19A0,FALSE
20001020,2000-10-20,2000,4,Q4,10,October,Oct,42,20,5,20A0,FALSE
20001021,2000-10-21,2000,4,Q4,10,October,Oct,42,21,6,21A0,TRUE
20001022,2000-10-22,2000,4,Q4,10,October,Oct,42,22,0,22A0,TRUE
20001023,2000-10-23,2000,4,Q4,10,October,Oct,43,23,1,23A0,FALSE
20001024,2000-10-24,2000,4,Q4,10,October,Oct,43,24,2,24A0,FALSE
20001025,2000-10-25,2000,4,Q4,10,October,Oct,43,25,3,25A0,FALSE
20001026,2000-10-26,2000,4,Q4,10,October,Oct,43,26,4,26A0,FALSE
20001027,2000-10-27,2000,4,Q4,10,October,Oct,43,27,5,27A0,FALSE
20001028,2000-10-28,2000,4,Q4,10,October,Oct,43,28,6,28A0,TRUE
20001029,2000-10-29,2000,4,Q4,10,October,Oct,43,29,0,29A0,TRUE
20001030,2000-10-30,2000,4,Q4,10,October,Oct,44,30,1,30A0,FALSE
20001031,2000-10-31,2000,4,Q4,10,October,Oct,44,31,2,31A0,FALSE
20001101,2000-11-01,2000,4,Q4,11,November,Nov,44,1,3,1A0,FALSE
20001102,2000-11-02,2000,4,Q4,11,November,Nov,44,2,4,2A0,FALSE
20001103,2000-11-03,2000,4,Q4,11,November,Nov,44,3,5,3A0,FALSE
20001104,2000-11-04,2000,4,Q4,11,November,Nov,44,4,6,4A0,TRUE
20001105,2000-11-05,2000,4,Q4,11,November,Nov,44,5,0,5A0,TRUE
20001106,2000-11-06,2000,4,Q4,11,November,Nov,45,6,1,6A0,FALSE
20001107,2000-11-07,2000,4,Q4,11,November,Nov,45,7,2,7A0,FALSE
20001108,2000-11-08,2000,4,Q4,11,November,Nov,45,8,3,8A0,FALSE
20001109,2000-11-09,2000,4,Q4,11,November,Nov,45,9,4,9A0,FALSE
20001110,2000-11-10,2000,4,Q4,11,November,Nov,45,10,5,10A0,FALSE
20001111,2000-11-11,2000,4,Q4,11,November,Nov,45,11,6,11A0,TRUE
20001112,2000-11-12,2000,4,Q4,11,November,Nov,45,12,0,12A0,TRUE
20001113,2000-11-13,2000,4,Q4,11,November,Nov,46,13,1,13A0,FALSE
20001114,2000-11-14,2000,4,Q4,11,November,Nov,46,14,2,14A0,FALSE
20001115,2000-11-15,2000,4,Q4,11,November,Nov,46,15,3,15A0,FALSE
